date,sendung,prozent,frames,res,url
2018-11-19,tth,0%,450FNANA,1/1,http://media.tagesschau.de/video/2018/1119/TV-20181119-2159-5601.h264.mp4
2018-11-20,h19,3.8%,959F47T,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/11/181120_sendung_h19/1/181120_sendung_h19_776k_p11v14.mp4
2018-11-20,t20,9.7%,760F91T,1/1,http://media.tagesschau.de/video/2018/1120/TV-20181120-2024-0101.h264.mp4
2018-11-20,hjo,0%,1731FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/11/181120_sendung_hjo/1/181120_sendung_hjo_776k_p11v14.mp4
2018-11-20,tth,0%,1788FNANA,1/1,http://media.tagesschau.de/video/2018/1120/TV-20181120-2256-5201.h264.mp4
2018-11-21,h19,10.2%,28F8T,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/11/181121_sendung_h19/1/181121_sendung_h19_776k_p11v14.mp4
2018-11-21,t20,10.1%,738F94T,1/1,http://media.tagesschau.de/video/2018/1121/TV-20181121-2021-5101.h264.mp4
2018-11-21,hjo,0%,1702FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/11/181121_sendung_hjo/1/181121_sendung_hjo_776k_p11v14.mp4
2018-11-21,tth,6.8%,1506F123T,1/1,http://media.tagesschau.de/video/2018/1121/TV-20181121-2300-5801.h264.mp4
2018-11-22,h19,8%,968F56T,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/11/181122_sendung_h19/1/181122_sendung_h19_776k_p11v14.mp4
2018-11-22,t20,0%,919FNANA,1/1,http://media.tagesschau.de/video/2018/1122/TV-20181122-2019-4501.h264.mp4
2018-11-22,hjo,0%,1801FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/11/181122_sendung_hjo/1/181122_sendung_hjo_776k_p11v14.mp4
2018-11-22,tth,0%,1827FNANA,1/1,http://media.tagesschau.de/video/2018/1122/TV-20181122-2315-5101.h264.mp4
2018-11-23,h19,9.3%,956F43T,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/11/181123_sendung_h19/1/181123_sendung_h19_776k_p11v14.mp4
2018-11-23,t20,0%,954FNANA,1/1,http://media.tagesschau.de/video/2018/1123/TV-20181123-2020-4401.h264.mp4
2018-11-23,tth,0%,890FNANA,1/1,http://media.tagesschau.de/video/2018/1123/TV-20181123-2219-0401.h264.mp4
2018-11-23,hjo,2%,1438F39T,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/11/181123_sendung_hjo/1/181123_sendung_hjo_776k_p11v14.mp4
2018-11-24,h19,0%,1185FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/11/181124_sendung_h19/1/181124_sendung_h19_776k_p11v14.mp4
2018-11-24,t20,13.5%,566F121T,1/1,http://media.tagesschau.de/video/2018/1124/TV-20181124-2025-4701.h264.mp4
